method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss
ddpg,16,0,16000,-11.128388126827112,0.0987782917277247,1.9173077794509372,0.5,False,0.2004851146170506,64.0,0.1532666185145175,True,0.1056,59.01261138916016,50.3748664855957
ddpg,16,0,17000,-4.921045527768083,1.0847568187445344,2.034743025964134,0.75,False,0.1072464704734396,64.0,0.1483642050352452,True,0.1046999999999999,44.86623764038086,2.2184314727783203
ddpg,16,0,18000,-12.323313608435146,-0.0712559322935194,2.06197913700095,0.75,False,0.2187867442168147,64.0,0.1754309867476086,True,0.1038,23.67710876464844,27.885032653808597
ddpg,16,0,19000,-8.60290631480461,0.5396211152021881,2.0043184658550968,0.5,False,0.1632594183929785,64.0,0.1426356467003691,True,0.1028999999999999,26.62084007263184,19.150962829589844
ddpg,16,0,20000,-11.3522906755153,0.0850883125010166,1.9198626560807055,0.5,False,0.2042389105002913,64.0,0.141261378385541,True,0.102,31.746511459350582,-15.101326942443848
ddpg,16,0,21000,-5.865025949743197,0.9413485366975464,1.998230018472228,0.5,False,0.1215424015435847,64.0,0.1417282409926608,True,0.1011,14.30406379699707,-12.948809623718262
ddpg,16,0,22000,-8.141308696679769,0.6838227143095504,2.045450290851952,0.5,False,0.157591632339095,64.0,0.1374634913451765,True,0.1002,11.61773681640625,-7.019633769989014
ddpg,16,0,23000,-4.647544785379597,1.100008316635008,1.9815210377468184,0.5,False,0.1026348768216893,64.0,0.133722154638482,True,0.0993,10.057408332824709,0.2504010796546936
ddpg,16,0,24000,-7.497791076160419,0.6534377314012216,1.894706619342811,0.25,False,0.1455576572778864,64.0,0.14742867795094,True,0.0984,12.689016342163086,7.451871395111084
ddpg,16,0,25000,-4.353889514104919,1.17993905040077,2.01112187427079,0.5,False,0.0988183672233158,64.0,0.1583312259789049,True,0.0975,12.317453384399414,11.618614196777344
ddpg,16,0,26000,-4.771467384196725,1.0614754737108054,1.9312007831045448,0.25,False,0.1041596938912058,64.0,0.1300832382127486,True,0.0965999999999999,11.922945976257324,11.292322158813477
ddpg,16,0,27000,-5.843809761320281,0.8764327170094952,1.9011218499754232,0.5,False,0.1200043299701745,64.0,0.1330160198830896,True,0.0957,11.63985824584961,11.273250579833984
ddpg,16,0,28000,-5.3057229947271765,1.0443534971417572,2.020587587635925,0.5,False,0.113394223069088,64.0,0.1464664294293806,True,0.0948,9.765527725219728,7.351115703582764
ddpg,16,0,29000,-17.00405649598504,-0.8586827415398663,2.0372618099126623,0.5,False,0.2883102456150924,64.0,0.1470997744255227,True,0.0939,13.667624473571776,0.9906293153762816
ddpg,16,0,30000,9.689566311032491,9.689566311032491,9.689566311032491,1.0,True,0.0,64.0,0.2388676626143224,True,0.093,39.61198425292969,-25.82023048400879
ddpg,16,0,31000,-0.8850632057325726,1.6025327382877452,1.9660439037951865,0.5,False,0.0444213561432199,64.0,0.1550658051917907,True,0.0921,135.53048706054688,-55.868431091308594
ddpg,16,0,32000,-9.449690526918127,0.4840130413402437,2.0297537325164585,0.5,False,0.1773875637188994,64.0,0.1514739436356536,True,0.0912,111.4279327392578,-51.89301681518555
ddpg,16,0,33000,-10.16251050457783,0.3211886791943118,1.9621175150184185,0.5,False,0.1872089139959311,64.0,0.1528315978202621,True,0.0902999999999999,95.26774597167967,-48.17451477050781
