method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,policy_loss,value_loss
ppo,16,0,38912,-39.96901822522584,-4.53243966613485,2.4243870460051857,0.4654541015625,0.001953125,0.6327960456980534,64.0,0.6153283290369002,-0.0098499432206153,148284.59375
ppo,16,0,40960,-39.35469204802262,-4.423758766630547,2.440029870377356,0.469970703125,0.001953125,0.6237666657391442,64.0,0.6292454441827547,-0.0096026435494422,139310.46875
ppo,16,0,43008,-39.18868874540556,-4.406677788894988,2.410648383562175,0.4658203125,0.00048828125,0.6211073385091174,64.0,0.5809349564129006,-0.0091820955276489,136338.625
ppo,16,0,45056,-39.09181998978856,-4.383600664953031,2.421520811914638,0.4676513671875,0.0029296875,0.6197896308006344,64.0,0.5791025647997913,-0.009667694568634,129834.46875
ppo,16,0,47104,-38.92544262236788,-4.354778485975082,2.418089983119634,0.4693603515625,0.00244140625,0.6173332881498714,64.0,0.6207500480193455,-0.0090159922838211,126190.5859375
ppo,16,0,49152,-39.04546672613081,-4.395296777659628,2.403783645822844,0.4705810546875,0.0029296875,0.6187530347941281,64.0,0.652603622105256,-0.0081566572189331,123502.4296875
ppo,16,0,51200,-38.864158130554245,-4.3801583272757725,2.367280191516251,0.46826171875,0.0029296875,0.61578571077283,64.0,0.6032088521223197,-0.007811777293682,120164.1875
ppo,16,0,53248,-39.24675522722383,-4.373988766127731,2.448169790649525,0.457763671875,0.00390625,0.6227279725195731,64.0,0.6361324529674414,-0.008992776274681,117298.0390625
ppo,16,0,55296,-39.16135950258519,-4.385736250704364,2.4306287222781684,0.4649658203125,0.0029296875,0.6209932723550147,64.0,0.6108081488390308,-0.007960058748722,114901.359375
ppo,16,0,57344,-38.529044613206295,-4.289214643573609,2.4103963493841425,0.4664306640625,0.00537109375,0.6114255351720123,64.0,0.5540750121471563,-0.0084324032068252,106461.7109375
ppo,16,0,59392,-39.3251356944141,-4.442023123516417,2.405485117754572,0.4671630859375,0.0048828125,0.6229127244803156,64.0,0.5926363105771688,-0.0077184438705444,107365.15625
ppo,16,0,61440,-38.61445324263703,-4.294685881361622,2.428388505545674,0.4696044921875,0.0029296875,0.6128529885942036,64.0,0.5896610137190713,-0.0075537636876106,98937.8984375
ppo,16,0,63488,-38.7825971687988,-4.296199691516396,2.451684334786,0.4652099609375,0.0029296875,0.615828526380043,64.0,0.6322269059734142,-0.0074346512556076,96620.25
ppo,16,0,65536,-39.50469122240174,-4.47280543570718,2.400950156896695,0.46630859375,0.00244140625,0.6255693890481171,64.0,0.6340780388559473,-0.008141852915287,97508.0390625
ppo,16,0,67584,-38.87404186051394,-4.318638459577982,2.461553111221266,0.473876953125,0.00537109375,0.6170607750167136,64.0,0.5947827751688337,-0.0080844759941101,90483.8359375
ppo,16,0,69632,-39.05201885447602,-4.3899605807504685,2.4079911922690007,0.4732666015625,0.00244140625,0.6189653263165278,64.0,0.550050241125332,-0.0082226246595382,88739.203125
