method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss
ddpg,96,0,25000,-65.45806872990498,-9.458068729904983,2.5419312700950165,0.5,False,1.0,64.0,1.1428826360786513,True,0.0975,48571.203125,-2134.78125
ddpg,96,0,26000,-82.86368038099558,-2.190132667262059,14.870756855367906,0.25,False,1.44059906631667,64.0,1.1851846597822508,True,0.0965999999999999,19499.828125,-2069.56298828125
ddpg,96,0,27000,-91.19178900607272,-10.810840612614754,6.178475819707327,0.25,False,1.4353740784546063,64.0,1.212885861419903,True,0.0957,26782.314453125,-1626.812255859375
ddpg,96,0,28000,-64.28887391385429,-9.112812598992676,2.653508171980205,0.5,False,0.9852868091939576,64.0,1.1390014553716477,True,0.0948,17918.3203125,-1239.6019287109375
ddpg,96,0,29000,-80.95108994211903,-1.662233828280959,15.01507279091756,0.25,False,1.4158724306042512,64.0,1.1995689481801008,True,0.0939,10716.5732421875,-961.29296875
ddpg,96,0,30000,-53.84687756105252,1.5766425492957512,13.412781787617638,0.5,False,0.9897057162562192,64.0,1.2109941229201766,True,0.093,6032.3662109375,-704.628662109375
ddpg,96,0,31000,-65.39044137787577,-9.42173123685819,2.569331301022535,0.5,False,0.9994412525181712,64.0,1.1467325057697195,True,0.0921,5387.3916015625,-463.42724609375
ddpg,96,0,32000,-89.4241309185447,-5.811001719308706,12.078845574902816,0.25,False,1.4930915928435,64.0,1.1550641917602464,True,0.0912,4196.234375,-316.7572631835937
ddpg,96,0,33000,-84.38303471221761,-3.5361392505308533,13.577041242879044,0.25,False,1.443694561815835,64.0,1.168114844087172,True,0.0902999999999999,2559.609619140625,-27.13509750366211
ddpg,96,0,34000,-63.18397446366208,-9.014796548619348,2.4674910370407392,0.5,False,0.967306748482906,64.0,0.989880764761104,True,0.0894,2352.09912109375,204.10516357421875
