method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss,effective_target_noise
td3,16,0,15000,10.627275383646737,10.627275383646737,10.627275383646737,1.0,True,0.0,44.06121783224444,0.0470687892903255,True,0.1065,8.503615379333496,0.0,0.15
td3,16,0,16000,-11.641059778454146,2.7972753730719946,7.28280635685239,0.75,False,0.4003840141698149,46.76300536522285,0.1360893766489207,True,0.1056,8.458358764648438,0.0,0.15
td3,16,0,17000,11.275572847478047,11.275572847478047,11.275572847478047,1.0,True,0.0,47.95594729440671,0.0606470964591925,True,0.1046999999999999,13.31576919555664,0.0,0.15
td3,16,0,18000,13.43222866870359,13.43222866870359,13.43222866870359,1.0,True,0.0,49.0998155558379,0.0581934130715595,True,0.1038,11.637601852416992,0.0,0.15
td3,16,0,19000,4.196707631849131,4.441516940303422,4.489452436146996,0.75,False,0.0059564575933849,50.43918094493355,0.0679682694547822,True,0.1028999999999999,10.96707820892334,0.0,0.15
td3,16,0,20000,5.302423556703952,5.302423556703952,5.302423556703952,1.0,True,0.0,51.60172863026951,0.0591273842667979,True,0.102,13.981842041015623,0.0,0.15
td3,16,0,21000,10.247530443352188,10.247530443352188,10.247530443352188,1.0,True,0.0,53.22353328503407,0.0820902327382284,True,0.1011,11.055139541625977,0.0,0.15
td3,16,0,22000,10.628231498730312,10.628231498730312,10.628231498730312,1.0,True,0.0,54.34768575236837,0.0572076233667148,True,0.1002,10.251386642456056,0.0,0.15
td3,16,0,23000,13.25633809474755,13.25633809474755,13.25633809474755,1.0,True,0.0,55.43527458913789,0.0553794418384759,True,0.0993,12.821993827819824,0.0,0.15
td3,16,0,24000,6.202395897278494,6.202395897278494,6.202395897278494,1.0,True,0.0,56.408053353283,0.049638938207255,True,0.0984,13.919134140014648,0.0,0.15
td3,16,0,25000,-3.780907267985696,2.964678826256009,4.234810116241263,0.75,False,0.1393484271100983,57.5459266724751,0.057893665959605,True,0.0975,17.110706329345703,0.0,0.15
td3,16,0,26000,5.424018736926781,5.424018736926781,5.424018736926781,1.0,True,0.0,58.17270743195719,0.0323390379741049,True,0.0965999999999999,11.648849487304688,0.0,0.15
td3,16,0,27000,-30.661433420848294,-0.6638187673902523,6.195933127937932,0.5,False,0.5978871021489116,59.26172687988854,0.0554509723965673,True,0.0957,17.490989685058594,0.0,0.15
td3,16,0,28000,12.209971742002097,12.209971742002097,12.209971742002097,1.0,True,0.0,60.35878666444114,0.0558529892276298,True,0.0948,19.445213317871094,0.0,0.15
td3,16,0,29000,9.104673094264536,9.104673094264536,9.104673094264536,1.0,True,0.0,61.95755476622563,0.0809384050892243,True,0.0939,17.875823974609375,0.0,0.15
td3,16,0,30000,-25.849397076689947,1.129380306422866,7.129380306422866,0.75,False,0.5,62.56595112370592,0.0314198178740142,True,0.093,17.67685317993164,0.0,0.15
td3,16,0,31000,6.828859136404574,6.828859136404574,6.828859136404574,1.0,True,0.0,62.83873393597826,0.0146391406136173,True,0.0921,13.765819549560549,0.0,0.15
td3,16,0,32000,13.036564407958116,13.036564407958116,13.036564407958116,1.0,True,0.0,63.21180995826165,0.0196538011141692,True,0.0912,23.448768615722656,0.0,0.15
td3,16,0,33000,6.590113616396791,6.590113616396791,6.590113616396791,1.0,True,0.0,63.31451982803744,0.0061354934887895,True,0.0902999999999999,23.742733001708984,0.0,0.15
td3,16,0,34000,10.802953166648484,10.802953166648484,10.802953166648484,1.0,True,0.0,63.40558184015956,0.0055531006061058,True,0.0894,22.5859317779541,0.0,0.15
td3,16,0,35000,7.459899887658826,7.459899887658826,7.459899887658826,1.0,True,0.0,63.49555484268214,0.005498650126129,True,0.0885,16.20893669128418,0.0,0.15
