n_ris,seed,scenario,bank_checksum,checkpoint_step,actor_repeats,decode_repeats,end_to_end_repeats,td3_actor_ms,td3_decode_ms,td3_decision_ms,td3_end_to_end_ms,td3_sum_rate,td3_qos_fraction,td3_all_qos,td3_violation,ao_sca_end_to_end_ms,ao_sca_iterations,ao_sca_evaluations,ao_sca_sum_rate,ao_sca_qos_fraction,ao_sca_all_qos,ao_sca_violation,ao_grid_end_to_end_ms,ao_grid_iterations,ao_grid_evaluations,ao_grid_sum_rate,ao_grid_qos_fraction,ao_grid_all_qos,ao_grid_violation,analytical_ris_end_to_end_ms,analytical_ris_iterations,analytical_ris_evaluations,analytical_ris_sum_rate,analytical_ris_qos_fraction,analytical_ris_all_qos,analytical_ris_violation
64,0,38,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.23393985,0.06950983,0.30344968,0.5546873999999999,12.01024891050941,1.0,1.0,0.0,1208.113064,11,4479,17.363708620404417,1.0,1.0,0.0,542.794882,2,2815,3.9820180997762513,1.0,1.0,0.0,0.237354,0,1,1.9820366058248198,0.0,0.0,0.017963394175180003
64,0,39,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21505341,0.07395162,0.28900503,0.57027915,12.112847678079717,1.0,1.0,0.0,1582.662241,15,6108,17.702323276056198,1.0,1.0,0.0,571.933907,2,2815,3.9820354524159214,1.0,1.0,0.0,0.234873,0,1,1.982059849401371,0.0,0.0,0.017940150598629023
64,0,40,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21492440999999998,0.07741216,0.29233656999999996,0.6454814,12.58917728107008,1.0,1.0,0.0,1918.584793,17,6911,17.573402858066558,1.0,1.0,0.0,560.333646,2,2815,3.9820217436830845,1.0,1.0,0.0,0.267827,0,1,1.9820567712847352,0.0,0.0,0.01794322871526477
64,0,41,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.24848616,0.08658727000000001,0.33507343,0.6030929,10.05193910659085,1.0,1.0,0.0,933.321378,8,3247,17.55305079888208,1.0,1.0,0.0,595.068441,2,2815,3.982030397199176,1.0,1.0,0.0,0.257552,0,1,1.9820619607730685,0.0,0.0,0.0179380392269316
64,0,42,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21469589,0.0712924,0.28598829000000003,0.6020698999999999,13.846854922400045,1.0,1.0,0.0,2232.679372,20,8106,18.031284537877312,1.0,1.0,0.0,546.748278,2,2815,3.9820292465643004,1.0,1.0,0.0,0.279394,0,1,1.9820616632469255,0.0,0.0,0.01793833675307449
64,0,43,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22616384,0.0727646,0.29892844,0.5768557000000001,9.935332963887854,1.0,1.0,0.0,207.332745,2,815,17.490214424644766,1.0,1.0,0.0,563.481024,2,2815,3.982034485020897,1.0,1.0,0.0,0.258652,0,1,1.9820642220903593,0.0,0.0,0.017935777909640627
64,0,44,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22372312,0.06985322,0.29357634,0.53953385,13.79707055359696,1.0,1.0,0.0,1492.908484,14,5699,17.843932752163862,1.0,1.0,0.0,557.401411,2,2815,3.9820350662736868,1.0,1.0,0.0,0.308117,0,1,1.9820610829031067,0.0,0.0,0.017938917096893436
64,0,45,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22606197000000003,0.07207074000000001,0.29813271,0.5730823,10.183222452819619,1.0,1.0,0.0,1101.968556,10,4076,17.469799402171965,1.0,1.0,0.0,559.995937,2,2815,3.982036532457331,1.0,1.0,0.0,0.253625,0,1,1.982057070466555,0.0,0.0,0.017942929533445007
64,0,46,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22772713,0.07261835,0.30034548,0.63079925,12.920430551794624,1.0,1.0,0.0,869.334585,8,3244,17.768421387962572,1.0,1.0,0.0,549.648476,2,2815,3.982032258546282,1.0,1.0,0.0,0.2359,0,1,1.9820573350465573,0.0,0.0,0.017942664953442655
64,0,47,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20559425999999997,0.0651844,0.27077865999999995,0.54867045,11.418338987889218,1.0,1.0,0.0,1838.078088,17,6915,17.93739148021547,1.0,1.0,0.0,538.129749,2,2815,3.9820383547222686,1.0,1.0,0.0,0.245511,0,1,1.9820623547782692,0.0,0.0,0.01793764522173069
