method,n_ris,seed,best_validation_step,best_validation_feasible,initial_sum_rate,best_sum_rate,latest_sum_rate,learning_gain_best_minus_initial,latest_gain_minus_initial,best_all_qos,latest_all_qos,best_qos_fraction,best_violation,training_seconds,interactions_per_second,total_wall_seconds,device_name,peak_gpu_memory_mb,config_hash,test_bank_checksum,repository_commit,embedded_runtime_identifier,archive,archive_sha256
ddpg,128,0,95000,True,4.389383893919258,21.02359094581751,20.936309255401873,16.63420705189825,16.546925361482614,1.0,1.0,1.0,0.0,872.074309234,114.66912732223078,882.724132775,Tesla T4,44.11083984375,020c0ddd5873ee8e88db034df9d38a8b6cdc38f31cfbf3fc41880e4d4440315e,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n128_seed0.zip,a910210a7e74424459f5c1bd863ff71ff790bec46c248009ac897e9ee66ef178
ddpg,128,1,100000,True,4.354630693707537,21.094109498059332,21.094109498059332,16.739478804351794,16.739478804351794,1.0,1.0,1.0,0.0,922.0396911760001,108.45520096044528,932.6606460329999,Tesla T4,44.11083984375,020c0ddd5873ee8e88db034df9d38a8b6cdc38f31cfbf3fc41880e4d4440315e,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n128_seed1.zip,cf7d7bde2cd7dc48f268efa3cefa2a4c8cbb9402167627d5e12a54bd81c2ea9a
ddpg,128,2,100000,True,4.345082110769284,20.92116902396783,20.92116902396783,16.576086913198548,16.576086913198548,1.0,1.0,1.0,0.0,898.0457749530001,111.35289847027406,908.831896005,Tesla T4,44.11083984375,020c0ddd5873ee8e88db034df9d38a8b6cdc38f31cfbf3fc41880e4d4440315e,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n128_seed2.zip,bc9ff2dccff9b5448fb6f2c834e8c109236656ed0a834df0c8c7e8f7a875cd14
ddpg,128,3,100000,True,4.319366284956466,20.991852017691468,20.991852017691468,16.672485732735,16.672485732735,1.0,1.0,1.0,0.0,981.825425825,101.8511003786369,993.2641903629999,Tesla T4,44.11083984375,020c0ddd5873ee8e88db034df9d38a8b6cdc38f31cfbf3fc41880e4d4440315e,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n128_seed3.zip,75bcf0bb1878525919857bd739ea8c88f4cb30be5e0f057c7044adbbc7401ad3
ddpg,128,4,90000,True,4.379103080741406,20.914515295098447,20.891138379816322,16.53541221435704,16.512035299074917,1.0,0.998,1.0,0.0,899.2367333249999,111.20542154705133,910.0472064530001,Tesla T4,44.11083984375,020c0ddd5873ee8e88db034df9d38a8b6cdc38f31cfbf3fc41880e4d4440315e,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n128_seed4.zip,1f3bf96f52630033d96bc700409648bb8a59af13060814ed3ffd9b7eb6d00a97
ppo,16,0,100000,False,6.414769462596887,7.748005944391536,7.748005944391536,1.333236481794649,1.333236481794649,0.635,0.635,0.901,0.052283134857077314,233.047876363,429.0963795106119,245.66580824300007,Tesla T4,26.02734375,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n16_seed0.zip,45fd63ed88fc21238a2dad957e9c0a6689e1c4c973da99e3de4ba8c27d3453d2
ppo,16,1,100000,True,7.11814066699879,14.635978801496114,14.635978801496114,7.517838134497324,7.517838134497324,1.0,1.0,1.0,0.0,237.2763750590001,421.449459412613,249.82200013800002,Tesla T4,26.02734375,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n16_seed1.zip,48271078ed11a42223ceac9cde397c1e381533999c8b5ad5bc6068c082f4ad6e
ppo,16,2,96256,True,7.012950547002792,12.938096376316201,12.818218253704261,5.925145829313409,5.805267706701469,0.997,0.998,0.99825,0.001912752243742634,234.68819321099994,426.097276696376,247.47720681599998,Tesla T4,26.02734375,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n16_seed2.zip,19b361342d8ab502422e8391f188623eecec915da651ff3b6f346862a02d3fdd
ppo,16,3,45056,False,6.27819775156071,8.3385549070306,8.189649407950203,2.06035715546989,1.9114516563894925,0.8,0.147,0.94925,0.03424976198960239,265.452082148,376.71582453154787,280.393882036,Tesla T4,26.02734375,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n16_seed3.zip,2f013c476318f9311a0a472bd4f431f7d7769816cd9c0306442b1da9284143bc
ppo,16,4,100000,False,5.803171628942895,6.155843829997759,6.155843829997759,0.3526722010548644,0.3526722010548644,0.462,0.462,0.84525,0.09681379628254969,226.84145618999997,440.8365282060307,239.446767686,Tesla T4,26.02734375,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n16_seed4.zip,f94e953e69045ba10b32c55f37d77aee7a1c67576c7d6f35e4930225c35320e7
ppo,32,0,96256,True,6.429703877927725,15.520270730465578,15.727368436603978,9.090566852537853,9.297664558676253,0.975,0.876,0.99375,0.003832096991708839,269.731901429,370.73849800566666,284.494235867,Tesla T4,30.01171875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n32_seed0.zip,c9f3bbdf3df213f3c8fb515e86e2e12f0924dcd236c13f92a532112d7a7e6b60
ppo,32,1,81920,True,6.106274418546658,16.674963872966448,16.634486859654803,10.56868945441979,10.528212441108145,0.997,1.0,0.999,0.0003684847395860547,229.27450126899998,436.1584015950967,242.26703922300004,Tesla T4,30.01171875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n32_seed1.zip,46cc1cf24bee35c9eed4e362541070b5905a29c17ecff749fa742b10fb3b635c
ppo,32,2,65536,True,7.029926055419552,16.919132627144933,16.29779256719955,9.889206571725381,9.26786651178,0.994,0.998,0.9985,0.00033522557582326014,231.89237933099992,431.23452477608765,244.85351287799995,Tesla T4,30.01171875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_r2_n32_seed2.zip,d7196afe9c3891921299fcfd972362bcab7ade96bcbbd3677d76a242d72f8ac1
