n_ris,method_a,method_b,paired_scenarios,mean_difference_a_minus_b,win_fraction_a_gt_b,cohen_dz,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,holm_family,holm_family_size,seed_level_unit,seed_level_n,seed_mean_difference_a_minus_b,seed_t_statistic,seed_t_p,scenario_t_holm_p,wilcoxon_holm_p,scenario_t_holm_significant_0_05,wilcoxon_holm_significant_0_05,paired_t_holm_p,paired_t_holm_significant_0_05,seed_holm_family_size,seed_t_holm_p,seed_t_holm_significant_0_05,significant_under_both_units
64,td3,ddpg,1000,-0.23012690683236206,0.114,-0.8385490978235431,-26.517250790017393,9.79699894733379e-118,34124.0,9.84054055509864e-124,all_15_pairs_within_N64,15,paired over 5 training seeds,5,-0.23012690683236414,-4.798871190466446,0.008655285645567872,1.959399789466758e-117,1.968108111019728e-123,True,True,1.959399789466758e-117,True,12,0.025965856936703616,True,True
64,td3,ppo,1000,-0.2822281929974983,0.115,-0.9592972878841205,-30.335643829360688,8.313783418255297e-144,27680.0,4.2164692789430393e-131,all_15_pairs_within_N64,15,paired over 5 training seeds,5,-0.282228192997497,-4.587773098802114,0.010123828722942024,2.494135025476589e-143,1.2649407836829118e-130,True,True,2.494135025476589e-143,True,12,0.025965856936703616,True,True
64,td3,ao_sca,1000,-1.1725797254274615,0.011,-2.807733619663988,-88.7883330116713,0.0,311.0,8.456391385620769e-165,all_15_pairs_within_N64,15,5 training seeds against a deterministic baseline,5,-1.172579725427461,-20.722931701428678,3.203570950427793e-05,0.0,5.073834831372461e-164,True,True,0.0,True,12,0.00019221425702566758,True,True
64,td3,ao_grid,1000,-1.70768110529502,0.0,-6.184987643088826,-195.58648252157272,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N64,15,5 training seeds against a deterministic baseline,5,-1.7076811052950198,-30.179746541283798,7.179873254061539e-06,0.0,4.9887886784017696e-164,True,True,0.0,True,12,5.743898603249231e-05,True,True
64,td3,analytical_ris,1000,16.75032969573084,1.0,50.616433188787575,1600.6321591030824,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N64,15,5 training seeds against a deterministic baseline,5,16.750329695730844,296.0275798172294,7.812490704513976e-10,0.0,4.9887886784017696e-164,True,True,0.0,True,12,8.593739774965373e-09,True,True
96,td3,ddpg,1000,-0.16345102618441928,0.124,-0.9078133799220248,-28.707579709293686,1.1996830200711477e-132,32936.0,4.475875280680805e-125,all_15_pairs_within_N96,15,paired over 5 training seeds,5,-0.16345102618441842,-1.423765129718849,0.22761462121018558,3.5990490602134434e-132,1.3427625842042414e-124,True,True,3.5990490602134434e-132,True,12,0.6607265295099201,False,False
96,td3,ppo,1000,-0.20483685974443402,0.156,-0.7552932348222686,-23.884469233547698,4.2235304273575336e-100,64945.0,1.782880410846677e-91,all_15_pairs_within_N96,15,paired over 5 training seeds,5,-0.20483685974443233,-1.4516141925303734,0.22024217650330669,8.447060854715067e-100,3.565760821693354e-91,True,True,8.447060854715067e-100,True,12,0.6607265295099201,False,False
96,td3,ao_sca,1000,-0.9823662952457941,0.015,-2.6314297958892205,-83.21311657841919,0.0,521.0,1.5869503772087576e-164,all_15_pairs_within_N96,15,5 training seeds against a deterministic baseline,5,-0.982366295245793,-19.368381600334633,4.188890907949882e-05,0.0,9.521702263252545e-164,True,True,0.0,True,12,0.0003351112726359906,True,True
96,td3,ao_grid,1000,-1.6583254349515024,0.0,-8.734046979645713,-276.1948164659475,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N96,15,5 training seeds against a deterministic baseline,5,-1.6583254349515038,-32.695624836808214,5.217820355918938e-06,0.0,4.9887886784017696e-164,True,True,0.0,True,12,4.6960383203270444e-05,True,True
96,td3,analytical_ris,1000,17.94581853698405,1.0,72.53258771323215,2293.6818175975745,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N96,15,5 training seeds against a deterministic baseline,5,17.945818536984053,353.82063008147,3.8282079175412513e-10,0.0,4.9887886784017696e-164,True,True,0.0,True,12,4.593849501049502e-09,True,True
128,td3,ddpg,1000,-0.06952356789032961,0.275,-0.4078726316843903,-12.89806511369633,2.560406386421774e-35,114303.0,4.37333508498206e-50,all_15_pairs_within_N128,15,paired over 5 training seeds,5,-0.06952356789033232,-1.650331800471342,0.17421984387515224,5.120812772843548e-35,8.74667016996412e-50,True,True,5.120812772843548e-35,True,12,0.5226595316254568,False,False
128,td3,ppo,1000,-0.10055430480762735,0.217,-0.4997723619313265,-15.804189753050196,2.18451279956113e-50,87164.0,2.799293290406754e-71,all_15_pairs_within_N128,15,paired over 5 training seeds,5,-0.10055430480762695,-1.3346228715997281,0.252902789774606,6.55353839868339e-50,8.397879871220261e-71,True,True,6.55353839868339e-50,True,12,0.5226595316254568,False,False
128,td3,ao_sca,1000,-0.689929502729103,0.057,-1.7090649555485888,-54.04537928707967,8.085690323369292e-299,10007.0,2.0439325734844972e-152,all_15_pairs_within_N128,15,5 training seeds against a deterministic baseline,5,-0.6899295027291039,-20.433034174254548,3.3877920742698123e-05,4.851414194021576e-298,1.2263595440906983e-151,True,True,4.851414194021576e-298,True,12,0.00023714544519888686,True,True
128,td3,ao_grid,1000,-1.4722722925246126,0.0,-8.043002157359329,-254.34206042903483,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N128,15,5 training seeds against a deterministic baseline,5,-1.472272292524611,-43.60299124470887,1.6541115227213574e-06,0.0,4.9887886784017696e-164,True,True,0.0,True,12,1.4887003704492217e-05,True,True
128,td3,analytical_ris,1000,18.93745001446504,1.0,88.58985448479109,2801.4571775482236,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N128,15,5 training seeds against a deterministic baseline,5,18.937450014465036,560.8537709840978,6.06378045726999e-11,0.0,4.9887886784017696e-164,True,True,0.0,True,12,6.921060525640898e-10,True,True
