step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss,effective_target_noise,n_ris,seed
18000,7.702389801731202,7.702389801731202,7.702389801731202,1.0,True,0.0,20.0766708434084,0.0091095699228336,True,0.1038,9.16352653503418,0.0,0.1171080087538239,32,1
19000,9.913288362790944,9.913288362790944,9.913288362790944,1.0,True,0.0,20.10221159246117,0.0022770374526386,True,0.1028999999999999,9.739496231079102,0.0,0.1171080087538239,32,1
20000,11.042772255094054,11.042772255094054,11.042772255094054,1.0,True,0.0,20.214781354247805,0.0066284880893316,True,0.102,13.774734497070312,0.0,0.1171080087538239,32,1
21000,5.912593184047988,5.912593184047988,5.912593184047988,1.0,True,0.0,20.24256696374182,0.0023892804747006,True,0.1011,6.349700927734375,0.0,0.1171080087538239,32,1
22000,12.639045162080247,12.639045162080247,12.639045162080247,1.0,True,0.0,21.055457211125624,0.0416445123691902,True,0.1002,13.093498229980469,0.0,0.1171080087538239,32,1
23000,7.466270721634481,7.466270721634481,7.466270721634481,1.0,True,0.0,21.82571670268652,0.0395129745780445,True,0.0993,12.281224250793455,0.0,0.1171080087538239,32,1
24000,10.583967837864565,10.583967837864565,10.583967837864565,1.0,True,0.0,22.004155610006038,0.0099219453659759,True,0.0984,13.056096076965332,0.0,0.1171080087538239,32,1
25000,6.322200963624587,6.322200963624587,6.322200963624587,1.0,True,0.0,21.984310214132197,7.730206307973669e-06,True,0.0975,9.481681823730469,0.0,0.1171080087538239,32,1
26000,13.61047034181251,13.61047034181251,13.61047034181251,1.0,True,0.0,22.031755144969967,0.0033722465418886,True,0.0965999999999999,11.888757705688477,0.0,0.1171080087538239,32,1
27000,13.110278623220134,13.110278623220134,13.110278623220134,1.0,True,0.0,22.07736078340674,0.0032802819218386,True,0.0957,26.65804672241211,0.0,0.1171080087538239,32,1
28000,5.321616886100396,5.321616886100396,5.321616886100396,1.0,True,0.0,22.09378530179442,0.001821225919384,True,0.0948,6.851320743560791,0.0,0.1171080087538239,32,1
29000,11.312454053862272,11.312454053862272,11.312454053862272,1.0,True,0.0,22.07384654201869,3.0620112133631383e-06,True,0.0939,18.141990661621094,0.0,0.1171080087538239,32,1
30000,7.147283302784024,7.147283302784024,7.147283302784024,1.0,True,0.0,22.40514638360217,0.0175649920791744,True,0.093,26.03672409057617,0.0,0.1171080087538239,32,1
31000,13.669556225084,13.669556225084,13.669556225084,1.0,True,0.0,22.938893078131905,0.0276873347264866,True,0.0921,14.434297561645508,0.0,0.1171080087538239,32,1
32000,12.70682722118718,12.70682722118718,12.70682722118718,1.0,True,0.0,22.920648550656523,8.777362623098551e-05,True,0.0912,18.547670364379883,0.0,0.1171080087538239,32,1
33000,10.170518450598024,10.170518450598024,10.170518450598024,1.0,True,0.0,22.9437030057669,0.0021527227555187,True,0.0902999999999999,12.415122985839844,0.0,0.1171080087538239,32,1
34000,7.558035219590645,7.558035219590645,7.558035219590645,1.0,True,0.0,23.35478738575953,0.0215542189996313,True,0.0894,12.413978576660156,0.0,0.1171080087538239,32,1
