method,n_ris,scenario,inference_ms,evaluation_ms,solve_ms,cpu_threads,seed,config_hash,bank_checksum
analytical_ris,128,56,,,0.149967,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,57,,,0.148724,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,58,,,0.165399,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,59,,,0.151789,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,60,,,0.150818,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,61,,,0.146331,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,62,,,0.15213,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,63,,,0.145821,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,64,,,0.166851,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,65,,,0.146872,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,66,,,0.15179,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,67,,,0.147893,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,68,,,0.142615,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,69,,,0.137638,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,70,,,0.149817,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,71,,,0.141333,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
