method,n_ris,seed,best_validation_step,best_validation_feasible,initial_sum_rate,best_sum_rate,latest_sum_rate,learning_gain_best_minus_initial,latest_gain_minus_initial,best_all_qos,latest_all_qos,best_qos_fraction,best_violation,training_seconds,interactions_per_second,total_wall_seconds,device_name,peak_gpu_memory_mb,config_hash,test_bank_checksum,repository_commit,embedded_runtime_identifier,archive,archive_sha256
ddpg,128,0,0,True,4.504382804130604,4.504382804130604,3.6828144076530633,0.0,-0.8215683964775411,0.999,0.48,0.99975,6.0738548347548e-06,712.2792425600001,140.39437628505132,722.321720871,Tesla T4,43.57177734375,4863348591f1e151cbf147f26554a6008d7082aa47d83973b57cf66a461a131b,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n128_seed0.zip,6f08303a8a2c9d5b2ca6812210c22654c0f88634a010bcb9b3651123b9669ebe
ddpg,128,1,15000,True,4.540785318265125,8.30044438537545,8.300383249635628,3.7596590671103245,3.759597931370503,1.0,0.0,1.0,0.0,697.600085291,143.3486063269123,707.3783888139999,Tesla T4,43.57177734375,4863348591f1e151cbf147f26554a6008d7082aa47d83973b57cf66a461a131b,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n128_seed1.zip,2318aa4a91829cbae18887a752c932a43f88d6b325f54d3dde05d0fde03658d4
ddpg,128,2,50000,True,4.498049343678762,19.495242467164136,8.17277455585206,14.997193123485374,3.674725212173298,0.997,0.967,0.99775,0.00041770433363475114,714.240826269,140.00879860420866,724.750885814,Tesla T4,43.57177734375,4863348591f1e151cbf147f26554a6008d7082aa47d83973b57cf66a461a131b,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n128_seed2.zip,7ef38d8e5466b2ce4de153cda51da681cd4e0f8e6745fffd6a854689a7cfb63a
ddpg,128,3,0,True,4.633890352605555,4.633890352605555,8.3006011509082,0.0,3.6667107983026455,0.987,0.0,0.99675,0.0004042720978167534,700.882185767,142.6773315554689,711.444711048,Tesla T4,43.57177734375,4863348591f1e151cbf147f26554a6008d7082aa47d83973b57cf66a461a131b,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n128_seed3.zip,5b6a2bfba528f8e6e11f303bda1c64564d88beabb3b75cc2c66c027a46acfcf9
ddpg,128,4,0,True,4.521552871325925,4.521552871325925,13.071047060657706,0.0,8.549494189331782,0.999,0.114,0.9995,8.48185599449091e-05,697.09633048,143.4521968163897,707.7184129689999,Tesla T4,43.57177734375,4863348591f1e151cbf147f26554a6008d7082aa47d83973b57cf66a461a131b,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n128_seed4.zip,34398295bc20f4fff95f759fdc4640f93724be979404d9312b6f8dd09e09dafe
ppo,16,0,100000,True,4.38429084291713,5.387969739504875,5.387969739504875,1.0036788965877452,1.0036788965877452,0.999,0.999,0.99925,0.0003055663366318795,222.65651104200003,449.1222804669604,236.69728792700005,Tesla T4,38.73046875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n16_seed0.zip,d1d89d67438245299ce06db16e665dc58267dfc3190a8091ec313ee07be8fa37
ppo,16,1,100000,True,4.536029769317427,6.21930333776196,6.21930333776196,1.683273568444533,1.683273568444533,0.998,0.998,0.999,0.0004099791368905949,186.10602671799995,537.3281121708463,197.59783773200002,Tesla T4,38.73046875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n16_seed1.zip,8bff5593422a8236931c735f22848345a311231726a3e48ca17cf200e7ccedf6
ppo,16,2,100000,True,4.533602059170048,6.769674617117714,6.769674617117714,2.236072557947666,2.236072557947666,0.998,0.998,0.99925,0.0001428677006396751,194.060076751,515.3043411825029,206.09859353300004,Tesla T4,38.73046875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n16_seed2.zip,772b21eae7526e1e9d3483b7ba2b2adff948c81c3ce7570776bb41a9374655df
ppo,16,3,75776,True,4.549381521276072,8.126766956982962,8.108657989563277,3.5773854357068897,3.5592764682872042,0.997,0.993,0.998,0.0023413660151956946,198.62748603200004,503.45499506492985,211.34414463299998,Tesla T4,38.73046875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n16_seed3.zip,da86802668483f7faef1e2d6bb77e6a54f633f0724e728b582b6177b10bb3518
ppo,16,4,100000,True,4.314760930553666,5.88786977577263,5.88786977577263,1.5731088452189645,1.5731088452189645,0.995,0.995,0.997,0.0019664179114470084,189.92816637299998,526.5148498491264,201.713753683,Tesla T4,38.73046875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n16_seed4.zip,593e91678807a0f7dc3e7551742e4bacf02444372aefa980295cecfc5b8709f7
